Date;Number 1;Number 2;Number 3;Number 4;Number 5;Number 6
30/03/2016;14;19;30;35;36;39
26/03/2016;12;13;18;27;29;33
23/03/2016;5;17;19;24;31;40
19/03/2016;10;11;23;25;34;41
16/03/2016;6;8;17;26;31;38
12/03/2016;4;11;13;19;23;44
09/03/2016;3;14;25;29;42;44
05/03/2016;3;5;6;9;36;40
02/03/2016;6;24;28;31;41;43
27/02/2016;1;16;30;31;35;39
24/02/2016;1;4;6;22;25;33
20/02/2016;1;17;25;27;31;42
17/02/2016;3;24;25;28;38;45
13/02/2016;6;17;21;32;34;44
10/02/2016;9;10;11;25;33;45
06/02/2016;1;9;21;30;39;41
03/02/2016;6;11;23;24;29;38
30/01/2016;13;17;20;30;31;36
27/01/2016;1;2;4;28;29;36
23/01/2016;1;3;6;10;21;42
20/01/2016;22;29;30;32;34;38
16/01/2016;18;25;26;30;33;38
13/01/2016;12;21;26;28;40;42
09/01/2016;1;2;5;8;15;16
06/01/2016;8;10;23;25;27;36
02/01/2016;3;14;16;17;30;36
30/12/2015;3;9;16;18;22;32
26/12/2015;6;10;33;34;36;40
23/12/2015;1;11;19;21;25;26
19/12/2015;2;8;15;28;30;32
16/12/2015;9;17;21;22;34;36
12/12/2015;1;8;16;20;31;33
09/12/2015;2;3;34;42;43;44
05/12/2015;5;10;28;31;39;44
02/12/2015;10;16;24;25;28;39
28/11/2015;13;15;16;21;24;34
25/11/2015;7;8;17;28;31;44
21/11/2015;9;14;15;18;31;41
18/11/2015;2;16;35;37;41;45
14/11/2015;6;9;16;19;31;40
11/11/2015;2;4;9;11;13;31
07/11/2015;19;25;26;35;40;42
04/11/2015;9;15;16;35;41;44
31/10/2015;7;16;20;36;42;45
28/10/2015;7;26;29;35;36;43
24/10/2015;13;16;17;29;41;44
21/10/2015;5;7;13;25;26;44
17/10/2015;12;21;26;28;32;44
14/10/2015;10;20;22;26;40;44
10/10/2015;13;18;19;20;22;23
07/10/2015;9;15;17;19;22;43
03/10/2015;10;19;28;29;37;45
30/09/2015;2;8;12;13;22;35
26/09/2015;3;23;24;26;38;39
23/09/2015;3;14;19;20;33;43
19/09/2015;2;3;8;35;36;43
16/09/2015;2;8;25;29;37;43
12/09/2015;3;24;27;29;38;44
09/09/2015;5;20;23;32;33;40
05/09/2015;11;17;22;26;33;36
02/09/2015;1;6;31;32;39;44
29/08/2015;4;22;27;31;36;43
26/08/2015;3;6;18;22;35;44
22/08/2015;11;13;24;28;32;33
19/08/2015;17;22;27;29;42;44
15/08/2015;8;9;16;23;29;44
12/08/2015;13;19;20;33;37;40
08/08/2015;18;21;29;31;34;44
05/08/2015;14;15;20;31;32;41
01/08/2015;6;32;33;40;41;43
29/07/2015;11;17;18;31;43;44
25/07/2015;1;9;10;22;24;34
22/07/2015;6;8;9;35;37;38
18/07/2015;14;18;21;36;40;43
15/07/2015;11;16;17;32;34;38
11/07/2015;1;5;14;22;23;24
08/07/2015;5;19;21;22;32;45
04/07/2015;12;17;20;22;32;44
01/07/2015;9;27;32;38;42;44
27/06/2015;4;12;16;26;42;45
24/06/2015;6;7;8;16;39;42
20/06/2015;5;6;13;18;27;28
17/06/2015;1;21;23;29;33;45
13/06/2015;20;21;34;39;41;44
10/06/2015;2;8;26;30;33;41
06/06/2015;15;21;26;27;32;41
03/06/2015;12;23;28;29;34;38
30/05/2015;1;8;22;23;33;42
27/05/2015;19;20;32;37;42;43
23/05/2015;2;7;14;23;33;36
20/05/2015;7;8;15;27;28;37
16/05/2015;4;14;20;38;44;45
13/05/2015;10;15;21;26;32;40
09/05/2015;5;18;19;22;27;30
06/05/2015;9;20;25;29;30;38
02/05/2015;1;9;31;36;41;45
29/04/2015;1;2;28;29;31;39
25/04/2015;2;4;16;18;40;45
22/04/2015;3;11;19;20;31;44
18/04/2015;24;26;30;33;37;38
15/04/2015;6;7;11;21;27;35
11/04/2015;1;7;29;34;40;44
08/04/2015;5;9;11;34;41;43
04/04/2015;17;33;37;39;40;43
01/04/2015;1;8;23;25;36;38
28/03/2015;1;3;8;12;28;43
25/03/2015;11;15;21;30;33;40
21/03/2015;13;16;21;27;32;38
18/03/2015;8;15;23;28;31;36
14/03/2015;2;4;5;11;21;36
11/03/2015;2;6;20;21;24;28
07/03/2015;19;20;29;30;34;36
04/03/2015;15;17;23;25;28;29
28/02/2015;22;26;28;31;32;35
25/02/2015;6;11;14;25;29;38
21/02/2015;12;13;16;30;39;41
18/02/2015;8;14;27;34;39;42
14/02/2015;27;28;32;34;40;44
11/02/2015;5;16;18;20;26;40
07/02/2015;6;9;18;26;33;38
04/02/2015;9;17;30;33;39;42
31/01/2015;3;17;18;27;28;36
28/01/2015;10;13;22;34;37;39
24/01/2015;4;8;12;18;20;22
21/01/2015;6;8;16;36;37;44
17/01/2015;13;24;25;26;28;44
14/01/2015;4;6;20;23;28;34
10/01/2015;9;16;19;21;25;45
07/01/2015;2;8;19;38;39;43
03/01/2015;6;9;13;20;37;43
31/12/2014;1;7;14;18;38;40
27/12/2014;2;5;9;26;31;36
24/12/2014;5;14;15;27;30;41
20/12/2014;7;10;11;18;24;39
17/12/2014;3;6;10;26;31;32
13/12/2014;16;21;25;32;36;45
10/12/2014;17;27;29;36;39;40
06/12/2014;1;9;18;20;28;30
03/12/2014;2;6;8;9;28;39
29/11/2014;11;22;28;29;42;43
26/11/2014;12;23;24;27;30;32
22/11/2014;4;10;11;19;27;37
19/11/2014;1;12;21;28;36;43
15/11/2014;5;17;19;29;35;41
12/11/2014;10;16;21;27;42;45
08/11/2014;6;11;14;15;22;43
05/11/2014;6;9;12;19;30;36
01/11/2014;12;24;26;27;28;43
29/10/2014;9;10;13;16;38;45
25/10/2014;10;20;23;30;36;44
22/10/2014;7;11;14;16;31;38
18/10/2014;7;11;15;16;20;24
15/10/2014;7;9;12;13;28;29
11/10/2014;14;20;35;38;39;41
08/10/2014;1;16;27;32;33;44
04/10/2014;5;7;18;26;37;44
01/10/2014;12;24;30;38;40;41
27/09/2014;14;18;22;29;35;37
24/09/2014;3;19;20;25;28;30
20/09/2014;7;8;17;18;33;45
17/09/2014;4;16;24;31;42;44
13/09/2014;7;10;26;30;39;45
10/09/2014;1;17;19;24;40;44
06/09/2014;1;4;17;20;22;28
03/09/2014;1;5;10;17;25;31
30/08/2014;9;10;13;16;18;43
27/08/2014;2;14;15;25;31;40
23/08/2014;4;7;10;19;31;38
20/08/2014;2;6;7;13;25;41
16/08/2014;13;18;28;29;35;36
13/08/2014;2;10;12;22;24;31
09/08/2014;4;7;15;21;29;34
06/08/2014;3;20;24;31;32;38
02/08/2014;16;18;25;35;44;45
30/07/2014;5;9;12;19;42;45
26/07/2014;17;18;19;25;33;40
23/07/2014;13;27;32;37;42;44
19/07/2014;30;37;38;40;41;45
16/07/2014;6;12;18;20;28;40
12/07/2014;3;20;22;32;35;36
09/07/2014;5;10;14;16;29;41
05/07/2014;13;17;19;25;38;45
02/07/2014;9;10;12;15;33;42
28/06/2014;11;16;20;23;25;30
25/06/2014;3;6;8;17;20;37
21/06/2014;4;19;24;32;35;38
18/06/2014;5;24;29;33;39;40
14/06/2014;14;22;27;37;39;40
11/06/2014;10;17;18;26;36;43
07/06/2014;1;10;24;33;37;38
04/06/2014;13;16;24;25;38;43
31/05/2014;4;7;39;41;42;45
28/05/2014;16;17;36;40;41;42
24/05/2014;2;4;16;39;43;45
21/05/2014;2;8;9;19;30;43
17/05/2014;4;5;15;27;30;38
14/05/2014;2;6;11;15;18;20
10/05/2014;7;11;12;14;20;31
07/05/2014;5;20;22;30;31;41
03/05/2014;14;15;18;20;27;29
30/04/2014;1;9;16;17;32;33
26/04/2014;3;12;24;32;35;42
23/04/2014;7;16;22;23;25;32
19/04/2014;5;30;35;39;41;44
16/04/2014;3;11;20;26;38;43
12/04/2014;1;2;3;7;9;29
09/04/2014;1;6;11;20;41;42
05/04/2014;2;12;16;30;41;44
02/04/2014;2;5;9;20;21;25
29/03/2014;8;13;22;33;34;39
26/03/2014;7;8;14;26;28;45
22/03/2014;2;7;13;16;25;26
19/03/2014;3;5;15;26;38;43
15/03/2014;1;9;19;27;30;42
12/03/2014;1;5;8;17;25;37
08/03/2014;14;16;19;21;23;37
05/03/2014;11;12;26;33;36;39
01/03/2014;3;17;28;29;34;40
26/02/2014;9;10;34;35;36;38
22/02/2014;2;6;11;14;18;23
19/02/2014;19;23;26;31;41;42
15/02/2014;3;4;21;25;26;41
12/02/2014;1;18;28;29;33;45
08/02/2014;7;21;25;26;27;36
05/02/2014;4;15;23;31;32;39
01/02/2014;10;12;17;20;41;45
29/01/2014;10;11;16;21;32;43
25/01/2014;13;15;16;23;28;33
22/01/2014;4;9;27;34;37;38
18/01/2014;5;21;24;37;39;41
15/01/2014;6;9;12;20;34;44
11/01/2014;1;5;7;28;36;45
08/01/2014;4;9;11;17;39;42
04/01/2014;5;6;21;22;23;37
01/01/2014;2;7;9;29;35;36
28/12/2013;7;25;31;35;36;44
25/12/2013;12;16;24;28;34;45
21/12/2013;21;22;23;24;25;38
18/12/2013;1;19;28;34;35;45
14/12/2013;10;13;19;28;38;43
11/12/2013;5;13;28;35;36;44
07/12/2013;13;16;20;21;25;40
04/12/2013;8;14;23;24;28;31
30/11/2013;15;17;20;27;38;40
27/11/2013;6;8;16;30;36;37
23/11/2013;20;28;36;38;40;45
20/11/2013;3;9;12;25;26;35
16/11/2013;6;9;14;34;38;43
13/11/2013;8;15;27;28;41;43
09/11/2013;8;17;21;25;26;41
06/11/2013;1;2;15;35;38;42
02/11/2013;3;17;27;33;38;45
30/10/2013;4;16;19;24;35;41
26/10/2013;16;18;25;29;35;45
23/10/2013;3;7;14;17;25;43
19/10/2013;1;18;21;24;26;32
16/10/2013;3;10;17;24;26;38
12/10/2013;2;11;19;21;31;40
09/10/2013;2;3;10;13;29;34
05/10/2013;1;7;15;24;32;33
02/10/2013;13;18;19;33;40;42
28/09/2013;15;25;29;36;41;44
25/09/2013;3;5;6;16;28;39
21/09/2013;2;4;6;11;39;42
18/09/2013;5;9;17;22;25;40
14/09/2013;9;12;15;27;30;32
11/09/2013;5;8;20;33;38;42
07/09/2013;1;3;15;20;25;36
04/09/2013;13;20;22;35;37;42
31/08/2013;20;21;22;27;33;36
28/08/2013;10;20;26;30;41;42
24/08/2013;3;10;14;28;37;45
21/08/2013;11;25;30;34;38;43
17/08/2013;2;5;8;26;28;34
14/08/2013;9;13;24;32;34;35
10/08/2013;3;8;9;18;30;36
07/08/2013;7;11;21;28;32;38
03/08/2013;14;16;23;27;28;41
31/07/2013;5;8;15;35;38;44
27/07/2013;5;13;22;26;39;42
24/07/2013;5;9;19;20;37;42
20/07/2013;3;20;22;31;40;44
17/07/2013;22;26;29;35;42;43
13/07/2013;6;8;13;15;27;40
10/07/2013;8;12;16;28;41;43
06/07/2013;2;12;22;29;31;34
03/07/2013;10;17;19;35;38;43
29/06/2013;3;7;13;18;41;44
26/06/2013;1;10;11;14;37;41
22/06/2013;1;16;19;21;30;40
19/06/2013;1;11;15;17;20;28
15/06/2013;4;8;12;38;40;45
12/06/2013;11;22;24;39;40;43
08/06/2013;8;10;16;22;23;34
05/06/2013;6;17;21;27;38;42
01/06/2013;6;9;22;36;40;43
29/05/2013;7;26;33;39;41;44
25/05/2013;2;8;19;28;36;39
22/05/2013;3;9;25;37;41;45
18/05/2013;12;15;20;28;33;43
15/05/2013;13;19;26;27;31;35
11/05/2013;2;7;14;33;43;44
08/05/2013;4;5;14;28;43;45
04/05/2013;11;25;27;36;40;42
01/05/2013;1;13;26;28;36;40
27/04/2013;17;27;28;31;43;45
24/04/2013;21;23;25;36;38;45
20/04/2013;3;5;15;28;43;45
17/04/2013;3;12;14;35;41;42
13/04/2013;13;21;24;34;35;39
10/04/2013;5;13;14;19;26;37
06/04/2013;1;10;18;21;31;37
03/04/2013;2;11;13;16;26;42
30/03/2013;3;9;15;27;33;41
27/03/2013;1;9;13;14;20;37
23/03/2013;6;15;19;23;24;39
20/03/2013;17;18;20;22;23;35
16/03/2013;3;4;15;30;33;41
13/03/2013;14;20;21;24;27;35
09/03/2013;25;37;39;40;41;42
06/03/2013;8;10;12;23;39;44
02/03/2013;1;12;21;22;35;39
27/02/2013;18;24;26;29;36;37
23/02/2013;1;19;26;38;42;45
20/02/2013;1;4;14;19;31;40
16/02/2013;10;20;23;38;43;44
13/02/2013;12;26;31;34;43;45
09/02/2013;24;29;32;33;36;37
06/02/2013;2;18;21;35;36;38
02/02/2013;3;4;7;22;29;35
30/01/2013;15;19;21;33;36;40
26/01/2013;16;20;32;34;36;38
23/01/2013;15;29;34;35;37;42
19/01/2013;4;7;16;21;23;31
16/01/2013;4;12;14;34;43;45
12/01/2013;8;20;24;32;34;40
09/01/2013;11;12;15;28;33;41
05/01/2013;2;14;16;28;32;45
02/01/2013;6;17;19;25;26;36
29/12/2012;3;18;23;27;33;44
26/12/2012;2;18;19;21;22;33
22/12/2012;1;2;9;37;40;41
19/12/2012;11;15;16;23;29;37
15/12/2012;13;16;18;22;29;39
12/12/2012;1;10;23;33;43;45
08/12/2012;1;2;3;22;25;43
05/12/2012;10;15;16;17;32;45
01/12/2012;2;5;10;21;38;40
28/11/2012;14;18;25;27;28;32
24/11/2012;5;10;18;32;34;36
21/11/2012;1;25;32;38;40;42
17/11/2012;7;10;20;27;31;36
14/11/2012;24;26;29;31;32;41
10/11/2012;9;21;22;27;29;40
07/11/2012;18;21;24;28;40;43
03/11/2012;2;10;17;26;39;42
31/10/2012;10;14;24;28;35;36
27/10/2012;4;8;9;12;14;31
24/10/2012;4;26;30;31;37;41
20/10/2012;1;8;20;30;32;39
17/10/2012;12;16;20;28;33;45
13/10/2012;1;7;13;21;31;44
10/10/2012;15;16;21;36;44;45
06/10/2012;17;20;22;24;27;44
03/10/2012;3;12;17;29;31;39
29/09/2012;1;4;8;26;36;39
26/09/2012;1;10;11;14;24;27
22/09/2012;21;26;28;37;41;43
19/09/2012;5;19;21;28;32;36
15/09/2012;2;7;8;10;17;23
12/09/2012;4;7;18;21;38;44
08/09/2012;24;26;39;42;43;44
05/09/2012;9;16;18;27;36;39
01/09/2012;2;4;14;26;29;39
29/08/2012;4;6;16;26;30;40
25/08/2012;3;12;20;25;32;36
22/08/2012;2;19;20;36;41;44
18/08/2012;7;28;32;36;43;45
15/08/2012;12;19;20;38;40;42
11/08/2012;1;6;7;15;41;43
08/08/2012;8;13;17;37;38;43
04/08/2012;6;15;24;32;40;42
01/08/2012;10;15;19;36;40;43
28/07/2012;1;14;16;19;37;38
25/07/2012;16;25;28;30;37;38
21/07/2012;2;13;18;21;23;40
18/07/2012;14;15;17;24;36;38
14/07/2012;14;24;34;36;38;44
11/07/2012;8;9;31;33;39;43
07/07/2012;5;26;32;36;37;42
04/07/2012;3;5;7;10;31;43
30/06/2012;2;6;8;9;26;34
27/06/2012;1;4;6;14;23;34
23/06/2012;5;14;22;31;41;42
20/06/2012;11;23;27;38;40;42
16/06/2012;8;13;15;26;42;43
13/06/2012;1;4;9;34;38;41
09/06/2012;10;14;17;19;20;23
06/06/2012;7;15;16;25;33;43
02/06/2012;7;22;25;41;42;44
30/05/2012;13;14;17;20;28;35
26/05/2012;4;11;15;17;40;43
23/05/2012;11;14;21;29;30;40
19/05/2012;7;14;20;21;27;36
16/05/2012;19;30;31;36;38;40
12/05/2012;15;20;28;34;41;42
09/05/2012;8;15;16;17;25;45
05/05/2012;27;30;32;37;42;45
02/05/2012;14;23;24;29;39;41
28/04/2012;4;13;20;37;43;45
25/04/2012;6;9;27;28;40;43
21/04/2012;3;9;11;24;30;41
18/04/2012;8;13;19;21;33;36
14/04/2012;4;11;14;17;32;44
11/04/2012;3;5;9;15;18;28
07/04/2012;1;7;10;19;24;43
04/04/2012;5;13;16;22;25;39
31/03/2012;5;7;28;29;41;42
28/03/2012;11;13;29;35;38;42
24/03/2012;3;4;12;13;18;24
21/03/2012;6;20;27;28;37;38
17/03/2012;11;18;27;28;31;36
14/03/2012;8;13;19;33;38;43
10/03/2012;5;11;18;21;22;42
07/03/2012;24;27;31;33;42;45
03/03/2012;14;18;23;26;35;44
29/02/2012;5;15;21;23;25;31
25/02/2012;4;8;13;21;30;34
22/02/2012;8;13;18;23;27;33
18/02/2012;4;9;11;20;29;32
15/02/2012;2;7;11;12;22;38
11/02/2012;3;6;13;22;35;43
08/02/2012;15;35;37;39;41;45
04/02/2012;5;18;30;35;42;44
01/02/2012;2;6;7;20;31;39
28/01/2012;5;8;22;34;35;36
25/01/2012;4;8;19;23;27;33
21/01/2012;11;20;25;30;35;42
18/01/2012;5;6;21;28;29;42
14/01/2012;1;7;9;20;24;36
11/01/2012;5;12;17;32;39;43
07/01/2012;6;18;20;25;35;45
04/01/2012;2;10;26;27;36;42
31/12/2011;2;6;8;21;25;38
28/12/2011;8;13;16;23;35;42
24/12/2011;8;15;25;36;37;41
21/12/2011;5;23;26;32;36;38
17/12/2011;4;7;12;17;22;37
14/12/2011;10;13;17;35;37;40
10/12/2011;2;6;10;22;40;41
07/12/2011;3;4;9;11;38;39
03/12/2011;4;10;14;19;35;40
30/11/2011;6;8;10;27;29;44
26/11/2011;6;22;35;36;38;39
23/11/2011;4;6;9;12;33;45
19/11/2011;8;10;18;24;28;30
16/11/2011;16;18;20;22;35;40
12/11/2011;4;7;23;28;38;41
09/11/2011;8;22;24;31;42;45
05/11/2011;4;14;21;25;33;42
02/11/2011;2;3;18;21;31;35
29/10/2011;3;8;22;25;37;41
26/10/2011;3;9;14;15;28;30
22/10/2011;6;7;17;19;22;25
19/10/2011;12;14;16;18;21;41
15/10/2011;25;27;29;31;42;44
12/10/2011;2;11;18;20;39;42
08/10/2011;11;14;19;30;38;41
05/10/2011;17;18;20;23;24;41
01/10/2011;1;2;10;18;28;41
28/09/2011;1;5;17;18;26;41
24/09/2011;6;14;27;28;33;39
21/09/2011;4;7;26;27;28;30
17/09/2011;8;17;19;22;34;41
14/09/2011;9;19;24;25;26;31
10/09/2011;5;13;14;17;20;22
07/09/2011;3;6;9;32;33;37
03/09/2011;6;13;14;38;39;41
31/08/2011;9;13;21;22;23;34
27/08/2011;2;5;24;25;31;41
24/08/2011;16;17;19;30;40;42
20/08/2011;3;8;9;11;12;39
17/08/2011;1;5;26;32;33;36
13/08/2011;2;9;11;32;33;35
10/08/2011;2;18;20;28;30;33
06/08/2011;3;8;10;18;24;27
03/08/2011;1;2;13;19;24;38
30/07/2011;1;7;17;21;38;39
27/07/2011;10;12;18;28;29;31
23/07/2011;17;20;25;31;34;35
20/07/2011;1;5;8;12;14;16
16/07/2011;13;15;18;22;29;36
13/07/2011;11;12;18;20;24;36
09/07/2011;11;12;34;37;38;39
06/07/2011;1;4;6;8;15;32
02/07/2011;5;16;17;19;29;31
29/06/2011;16;21;26;31;39;41
25/06/2011;9;17;20;26;33;42
22/06/2011;8;16;28;33;34;38
18/06/2011;8;20;21;24;27;30
15/06/2011;4;27;32;34;38;40
11/06/2011;3;4;14;33;35;36
08/06/2011;8;16;20;28;30;38
04/06/2011;2;17;23;28;30;41
01/06/2011;3;6;16;20;38;41
28/05/2011;6;7;13;23;24;32
25/05/2011;11;14;21;32;35;39
21/05/2011;9;17;19;23;26;30
18/05/2011;11;27;28;31;38;41
14/05/2011;4;6;13;14;33;34
11/05/2011;14;16;31;37;38;42
07/05/2011;2;11;16;25;28;35
04/05/2011;8;12;18;20;22;27
30/04/2011;12;14;24;26;28;41
27/04/2011;17;18;23;32;35;42
23/04/2011;7;14;15;16;18;26
20/04/2011;1;7;14;20;39;41
16/04/2011;1;7;13;16;37;38
13/04/2011;7;12;17;21;28;32
09/04/2011;5;10;16;20;30;33
06/04/2011;2;4;7;18;22;36
02/04/2011;8;10;18;27;36;40
30/03/2011;11;12;19;23;27;42
26/03/2011;11;16;17;19;33;42
23/03/2011;3;7;12;22;26;36
19/03/2011;2;3;8;12;27;38
16/03/2011;2;6;11;22;27;41
12/03/2011;3;8;12;15;25;42
09/03/2011;7;15;18;22;25;31
05/03/2011;2;3;5;9;16;40
02/03/2011;2;6;13;19;27;31
26/02/2011;1;2;24;25;41;42
23/02/2011;4;7;12;28;38;42
19/02/2011;4;21;22;27;35;40
16/02/2011;8;21;25;29;33;34
12/02/2011;2;6;15;18;20;30
09/02/2011;2;4;8;21;23;37
05/02/2011;6;15;16;18;20;28
02/02/2011;5;7;17;18;33;38
29/01/2011;7;17;28;29;40;42
26/01/2011;2;3;17;30;33;36
22/01/2011;16;17;18;30;34;35
19/01/2011;17;22;28;32;33;40
15/01/2011;3;6;17;27;32;37
12/01/2011;9;10;13;24;38;42
08/01/2011;3;7;14;15;33;34
05/01/2011;17;19;21;30;35;40
01/01/2011;2;16;17;22;23;27
29/12/2010;4;5;8;14;27;40
25/12/2010;16;17;20;27;34;35
22/12/2010;4;8;19;28;33;39
18/12/2010;3;5;8;14;17;24
15/12/2010;3;4;15;29;39;41
11/12/2010;2;12;16;28;29;37
08/12/2010;14;19;35;37;39;40
04/12/2010;1;4;7;23;25;26
01/12/2010;9;20;25;28;30;31
27/11/2010;3;16;23;26;27;31
24/11/2010;3;6;8;26;28;35
20/11/2010;8;9;12;18;21;33
17/11/2010;3;16;17;22;32;39
13/11/2010;10;16;33;37;38;39
10/11/2010;3;7;13;24;30;31
06/11/2010;8;17;19;32;33;40
03/11/2010;12;22;24;25;27;38
30/10/2010;14;19;21;23;28;39
27/10/2010;3;6;23;24;35;36
23/10/2010;9;11;19;22;37;40
20/10/2010;4;15;29;36;41;42
16/10/2010;9;16;19;22;26;37
13/10/2010;4;6;26;27;32;37
09/10/2010;5;7;14;18;27;35
06/10/2010;3;5;14;22;31;38
02/10/2010;3;4;15;27;32;40
29/09/2010;14;28;31;34;36;38
25/09/2010;14;16;20;21;34;41
22/09/2010;10;20;27;32;33;38
18/09/2010;2;13;21;23;27;32
15/09/2010;1;6;7;18;27;31
11/09/2010;9;18;22;24;29;36
08/09/2010;10;11;17;23;31;38
04/09/2010;3;20;21;35;37;42
01/09/2010;8;18;19;22;36;40
28/08/2010;1;13;14;23;30;31
25/08/2010;1;10;12;35;36;42
21/08/2010;3;6;7;18;26;28
18/08/2010;6;15;22;29;38;41
14/08/2010;8;13;24;34;37;40
11/08/2010;7;20;24;25;28;39
07/08/2010;4;10;20;24;34;42
04/08/2010;16;25;33;34;36;40
31/07/2010;4;6;7;9;10;29
28/07/2010;11;13;15;27;30;31
24/07/2010;3;9;10;11;18;42
21/07/2010;1;5;10;15;29;40
17/07/2010;10;13;14;15;25;26
14/07/2010;5;11;13;15;28;34
10/07/2010;3;5;18;19;31;33
07/07/2010;9;14;33;34;36;38
03/07/2010;2;7;24;25;31;39
30/06/2010;5;28;31;37;39;41
26/06/2010;1;7;17;22;23;25
23/06/2010;5;12;17;25;30;38
19/06/2010;1;6;7;14;19;29
16/06/2010;1;6;20;29;36;37
12/06/2010;1;8;16;25;27;39
09/06/2010;9;18;20;21;37;38
05/06/2010;1;7;8;10;11;24
02/06/2010;22;24;25;29;31;32
29/05/2010;9;10;20;21;29;31
26/05/2010;13;21;25;27;33;38
22/05/2010;1;3;9;23;31;41
19/05/2010;1;6;21;34;35;36
15/05/2010;5;23;32;33;36;38
12/05/2010;3;11;12;19;26;41
08/05/2010;13;17;21;32;39;42
05/05/2010;4;6;9;29;37;41
01/05/2010;2;4;14;18;20;29
28/04/2010;3;12;29;30;36;40
24/04/2010;4;6;9;13;21;35
21/04/2010;1;8;11;12;13;33
17/04/2010;2;17;21;29;30;36
14/04/2010;1;23;34;39;40;42
10/04/2010;2;6;11;26;32;33
07/04/2010;3;5;6;8;19;27
03/04/2010;4;5;8;28;32;36
31/03/2010;2;12;18;19;38;39
27/03/2010;1;11;17;20;35;40
24/03/2010;19;25;36;37;38;39
20/03/2010;11;25;27;29;31;36
17/03/2010;7;12;19;24;35;38
13/03/2010;7;9;20;23;40;42
10/03/2010;1;8;10;28;32;40
06/03/2010;5;9;22;27;31;39
03/03/2010;4;8;14;15;33;35
27/02/2010;1;11;12;27;32;33
24/02/2010;22;27;29;31;34;37
20/02/2010;9;18;19;25;31;34
17/02/2010;3;13;15;22;27;37
13/02/2010;3;4;10;14;18;41
10/02/2010;2;12;13;35;36;41
06/02/2010;16;19;24;29;30;31
03/02/2010;11;12;23;26;31;36
30/01/2010;19;20;24;33;34;42
27/01/2010;15;23;24;30;36;42
23/01/2010;2;16;21;25;30;33
20/01/2010;1;4;9;15;34;40
16/01/2010;25;26;28;29;30;33
13/01/2010;7;17;24;32;33;34
09/01/2010;8;9;13;14;30;38
06/01/2010;1;5;8;19;24;29
02/01/2010;2;4;8;11;37;39
30/12/2009;10;12;19;20;25;35
26/12/2009;2;6;15;29;41;42
23/12/2009;3;6;16;25;27;29
19/12/2009;1;19;26;30;33;41
16/12/2009;21;28;38;39;41;42
12/12/2009;16;28;30;31;34;41
09/12/2009;3;12;14;27;28;29
05/12/2009;4;8;10;16;35;36
02/12/2009;4;30;38;39;40;41
28/11/2009;10;16;27;31;35;38
25/11/2009;5;6;10;14;28;41
21/11/2009;15;21;28;30;31;32
18/11/2009;1;7;16;20;37;40
14/11/2009;9;11;18;23;33;42
11/11/2009;7;18;22;32;38;42
07/11/2009;9;20;26;27;38;41
04/11/2009;7;13;21;22;24;25
31/10/2009;2;13;17;19;29;30
28/10/2009;1;4;5;16;27;31
24/10/2009;9;11;14;22;29;33
21/10/2009;11;12;16;22;25;41
17/10/2009;5;13;18;30;32;33
14/10/2009;7;9;21;27;29;39
10/10/2009;2;18;25;27;32;40
07/10/2009;12;17;22;27;33;41
03/10/2009;1;4;6;12;14;22
30/09/2009;17;22;28;29;36;42
26/09/2009;15;18;21;22;34;39
23/09/2009;1;2;3;9;11;42
19/09/2009;5;7;9;30;40;41
16/09/2009;5;11;14;31;33;41
12/09/2009;1;10;12;16;25;29
09/09/2009;5;15;16;21;24;27
05/09/2009;1;2;3;17;28;30
02/09/2009;4;7;24;28;31;34
29/08/2009;2;4;21;23;25;31
26/08/2009;1;21;26;28;39;42
22/08/2009;8;12;16;23;33;41
19/08/2009;3;15;18;22;33;38
15/08/2009;4;6;8;14;20;38
12/08/2009;10;24;28;29;35;42
08/08/2009;2;4;11;23;37;40
05/08/2009;2;20;23;26;28;39
01/08/2009;11;16;24;35;36;38
29/07/2009;11;12;24;32;39;40
25/07/2009;5;7;16;20;22;35
22/07/2009;8;10;19;31;38;42
18/07/2009;1;8;10;12;24;41
15/07/2009;16;19;28;33;38;42
11/07/2009;5;9;14;22;28;42
08/07/2009;1;4;7;13;39;40
04/07/2009;1;6;8;26;38;40
01/07/2009;5;6;12;13;14;33
27/06/2009;3;4;13;14;31;32
24/06/2009;10;11;17;22;24;35
20/06/2009;10;22;24;26;27;37
17/06/2009;4;12;18;20;26;33
13/06/2009;1;5;6;10;21;36
10/06/2009;1;22;24;28;29;39
06/06/2009;5;7;9;13;20;22
03/06/2009;3;6;23;25;32;41
30/05/2009;5;12;24;27;28;40
27/05/2009;8;16;25;29;37;40
23/05/2009;17;18;28;29;31;36
20/05/2009;15;17;21;31;33;40
16/05/2009;4;5;6;17;19;31
13/05/2009;2;15;28;30;31;38
09/05/2009;7;8;20;21;33;41
06/05/2009;10;12;22;28;29;36
02/05/2009;8;14;19;20;32;42
29/04/2009;5;7;20;22;25;42
25/04/2009;7;12;14;19;25;28
22/04/2009;11;20;25;27;28;29
18/04/2009;2;5;11;15;31;40
15/04/2009;19;25;26;30;39;40
11/04/2009;3;5;8;19;30;33
08/04/2009;5;6;11;15;21;24
04/04/2009;3;10;17;28;37;38
01/04/2009;8;11;12;17;27;32
28/03/2009;7;9;10;11;28;34
25/03/2009;1;5;6;7;15;32
21/03/2009;4;5;7;20;28;39
18/03/2009;9;18;19;25;27;39
